id,checkin,cdate,site_id,user_uuid
1618415,2,2023-05-30 11:22:37.334256,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1621319,2,2023-05-31 09:55:17.810719,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1616110,1,2023-05-30 01:27:13.665653,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1618015,1,2023-05-30 09:01:27.767031,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1617982,2,2023-05-30 08:51:50.525313,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1616128,1,2023-05-30 01:30:40.761423,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1617419,1,2023-05-30 06:38:32.477032,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1621309,1,2023-05-31 09:53:27.687583,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1617299,2,2023-05-30 06:12:17.202510,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1803171,2,2023-08-11 09:44:09.894150,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1797827,2,2023-08-10 01:32:58.353216,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1798053,2,2023-08-10 02:30:01.590053,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1799552,2,2023-08-10 08:29:38.012267,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1803934,1,2023-08-12 04:50:18.763332,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1801809,2,2023-08-11 04:42:14.681146,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802123,2,2023-08-11 05:41:05.387186,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1804020,2,2023-08-12 05:38:25.103657,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1799060,2,2023-08-10 06:14:29.358261,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802131,1,2023-08-11 05:43:07.937380,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1803180,1,2023-08-11 09:46:08.478969,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1798120,2,2023-08-10 02:42:41.455913,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1803219,2,2023-08-11 10:03:06.011383,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1804107,2,2023-08-12 06:17:46.011223,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1799124,1,2023-08-10 06:30:26.709252,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1800997,1,2023-08-11 01:59:48.005576,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1799688,2,2023-08-10 09:06:56.666593,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1801296,2,2023-08-11 03:01:18.123297,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802897,2,2023-08-11 08:21:39.571165,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1797826,1,2023-08-10 01:32:29.277317,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1801827,1,2023-08-11 04:44:57.274752,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802541,1,2023-08-11 07:08:29.335918,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802450,2,2023-08-11 06:51:47.307039,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1804207,2,2023-08-12 07:11:21.668006,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1798067,1,2023-08-10 02:32:20.147019,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1802914,1,2023-08-11 08:24:27.180802,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1801487,1,2023-08-11 03:42:17.426130,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1797829,1,2023-08-10 01:33:07.236407,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1798462,1,2023-08-10 03:57:40.382912,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1804025,1,2023-08-12 05:40:25.766055,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1804118,1,2023-08-12 06:23:58.030,49,1509029b-1be0-4603-8832-555b7c5ff4e0
1799569,1,2023-08-10 08:31:44.839743,49,1509029b-1be0-4603-8832-555b7c5ff4e0
2144539,2,2023-12-12 03:36:09.046218,49,22a54d14-5e69-431c-8255-5c023899fccd
2146869,2,2023-12-12 17:10:17.051323,49,22a54d14-5e69-431c-8255-5c023899fccd
2149677,2,2023-12-13 21:20:19.656686,49,22a54d14-5e69-431c-8255-5c023899fccd
2144954,1,2023-12-12 04:47:57.372657,49,22a54d14-5e69-431c-8255-5c023899fccd
2147454,1,2023-12-13 01:39:50.889602,49,22a54d14-5e69-431c-8255-5c023899fccd
2149627,1,2023-12-13 16:04:11.478265,49,22a54d14-5e69-431c-8255-5c023899fccd
2146042,2,2023-12-12 08:29:10.718091,49,22a54d14-5e69-431c-8255-5c023899fccd
2146829,2,2023-12-12 15:10:24.256760,49,22a54d14-5e69-431c-8255-5c023899fccd
2145379,1,2023-12-12 06:07:19.578542,49,22a54d14-5e69-431c-8255-5c023899fccd
2146832,1,2023-12-12 15:13:03.437270,49,22a54d14-5e69-431c-8255-5c023899fccd
2145687,1,2023-12-12 07:16:07.127716,49,22a54d14-5e69-431c-8255-5c023899fccd
2149655,1,2023-12-13 19:16:38.329430,49,22a54d14-5e69-431c-8255-5c023899fccd
2150781,1,2023-12-14 05:25:00.596294,49,22a54d14-5e69-431c-8255-5c023899fccd
2149536,2,2023-12-13 13:35:29.803633,49,22a54d14-5e69-431c-8255-5c023899fccd
2149588,2,2023-12-13 14:49:53.772092,49,22a54d14-5e69-431c-8255-5c023899fccd
2149649,2,2023-12-13 18:14:52.424676,49,22a54d14-5e69-431c-8255-5c023899fccd
2149653,2,2023-12-13 19:13:48.686290,49,22a54d14-5e69-431c-8255-5c023899fccd
2149654,1,2023-12-13 19:16:37.478383,49,22a54d14-5e69-431c-8255-5c023899fccd
2144538,2,2023-12-12 03:36:08.531799,49,22a54d14-5e69-431c-8255-5c023899fccd
2144426,1,2023-12-12 03:19:05.985042,49,22a54d14-5e69-431c-8255-5c023899fccd
2149652,1,2023-12-13 18:16:59.370096,49,22a54d14-5e69-431c-8255-5c023899fccd
2143615,1,2023-12-12 00:05:25.570773,49,22a54d14-5e69-431c-8255-5c023899fccd
2144400,2,2023-12-12 03:16:19.090598,49,22a54d14-5e69-431c-8255-5c023899fccd
2144956,1,2023-12-12 04:47:57.954566,49,22a54d14-5e69-431c-8255-5c023899fccd
2146785,2,2023-12-12 13:56:01.112526,49,22a54d14-5e69-431c-8255-5c023899fccd
2147805,2,2023-12-13 03:32:25.087942,49,22a54d14-5e69-431c-8255-5c023899fccd
2151438,2,2023-12-14 08:41:28.637461,49,22a54d14-5e69-431c-8255-5c023899fccd
2144032,2,2023-12-12 01:46:04.180556,49,22a54d14-5e69-431c-8255-5c023899fccd
2145364,2,2023-12-12 06:04:51.294989,49,22a54d14-5e69-431c-8255-5c023899fccd
2146700,1,2023-12-12 12:43:35.851858,49,22a54d14-5e69-431c-8255-5c023899fccd
2146789,1,2023-12-12 13:59:46.043439,49,22a54d14-5e69-431c-8255-5c023899fccd
2149301,1,2023-12-13 10:23:23.207575,49,22a54d14-5e69-431c-8255-5c023899fccd
2149540,1,2023-12-13 13:38:59.980085,49,22a54d14-5e69-431c-8255-5c023899fccd
2144401,2,2023-12-12 03:16:19.677466,49,22a54d14-5e69-431c-8255-5c023899fccd
2144074,1,2023-12-12 01:55:54.692454,49,22a54d14-5e69-431c-8255-5c023899fccd
2149310,1,2023-12-13 10:26:40.545356,49,22a54d14-5e69-431c-8255-5c023899fccd
2145643,2,2023-12-12 07:04:42.967527,49,22a54d14-5e69-431c-8255-5c023899fccd
2149303,2,2023-12-13 10:24:07.740494,49,22a54d14-5e69-431c-8255-5c023899fccd
1622539,1,2023-06-01 00:41:06.998457,49,cb5ed3f0-e7fe-48ec-b543-152ded4d124c
1628846,1,2023-06-02 14:51:41.620918,49,cb5ed3f0-e7fe-48ec-b543-152ded4d124c
1622728,2,2023-06-01 01:33:27.841159,49,cb5ed3f0-e7fe-48ec-b543-152ded4d124c
2075430,2,2023-11-15 15:28:16.760082,49,73806990-644d-4263-b0a8-b4280f9fd132
2078388,2,2023-11-16 09:14:46.741211,49,73806990-644d-4263-b0a8-b4280f9fd132
2075433,1,2023-11-15 15:33:51.351906,49,73806990-644d-4263-b0a8-b4280f9fd132
2075366,1,2023-11-15 13:31:54.616296,49,73806990-644d-4263-b0a8-b4280f9fd132
2077302,1,2023-11-16 05:12:39.659339,49,73806990-644d-4263-b0a8-b4280f9fd132
2078084,1,2023-11-16 08:01:00.224757,49,73806990-644d-4263-b0a8-b4280f9fd132
2075367,1,2023-11-15 13:31:55.269089,49,73806990-644d-4263-b0a8-b4280f9fd132
2075437,2,2023-11-15 15:52:03.438790,49,73806990-644d-4263-b0a8-b4280f9fd132
2078078,2,2023-11-16 07:58:18.832271,49,73806990-644d-4263-b0a8-b4280f9fd132
2078949,1,2023-11-16 14:52:29.610241,49,73806990-644d-4263-b0a8-b4280f9fd132
2143158,2,2023-12-11 12:14:43.230172,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2142035,1,2023-12-11 06:29:47.597090,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2146787,1,2023-12-12 13:58:41.985237,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2141908,2,2023-12-11 06:04:07.609676,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2146788,2,2023-12-12 13:58:48.911201,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143344,2,2023-12-11 14:57:33.125309,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140325,2,2023-12-10 16:41:27.788362,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2142617,1,2023-12-11 09:01:42.420824,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143157,1,2023-12-11 12:14:30.060985,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140517,1,2023-12-10 23:38:26.013920,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2141505,1,2023-12-11 04:28:38.232845,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143255,1,2023-12-11 13:22:54.024771,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2141495,1,2023-12-11 04:25:50.714534,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143064,2,2023-12-11 11:28:28.866651,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143332,1,2023-12-11 14:34:32.413749,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140311,1,2023-12-10 15:31:07.216551,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140828,1,2023-12-11 01:43:07.106724,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
